,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Bin Age
222,37,No,Travel_Frequently,663,Research & Development,Far,Bacherlors,Other,306,Good,Male,47,Moderate,Experienced,Research Director,Excellent,Divorced,12185,10056,1,Yes,14,3,Best,High,10,1,Best,10,8,0,7,31-45
223,38,No,Travel_Rarely,119,Sales,Near by,Bacherlors,Life Sciences,307,Poor,Male,76,Moderate,Experienced,Sales Executive,Best,Divorced,10609,9647,0,No,12,3,Best,Medium,17,6,Good,16,10,5,13,31-45
224,31,No,Non-Travel,979,Research & Development,Near by,Masters,Medical,308,Best,Male,90,Very Low,Intermediate,Manufacturing Director,Best,Married,4345,4381,0,No,12,3,Excellent,Low,6,2,Best,5,4,1,4,31-45
225,59,No,Travel_Rarely,142,Research & Development,Near by,Bacherlors,Life Sciences,309,Best,Male,70,Low,Beginner,Research Scientist,Excellent,Married,2177,8456,3,No,17,3,Poor,Low,7,6,Best,1,0,0,0,46-60
226,37,No,Travel_Frequently,319,Sales,Near by,Masters,Marketing,311,Poor,Male,41,Moderate,Beginner,Sales Representative,Excellent,Divorced,2793,2539,4,No,17,3,Best,Low,13,2,Best,9,8,5,8,31-45
227,29,No,Travel_Frequently,1413,Sales,Near by,High School,Medical,312,Good,Female,42,Moderate,Experienced,Sales Executive,Excellent,Married,7918,6599,1,No,14,3,Excellent,Low,11,5,Best,11,10,4,1,18-30
228,35,No,Travel_Frequently,944,Sales,Near by,Bacherlors,Marketing,314,Best,Female,92,Moderate,Experienced,Sales Executive,Best,Single,8789,9096,1,No,14,3,Poor,No,10,3,Excellent,10,7,0,8,31-45
229,29,Yes,Travel_Rarely,896,Research & Development,Far,High School,Medical,315,Best,Male,86,Low,Beginner,Research Scientist,Excellent,Single,2389,14961,1,Yes,13,3,Best,No,4,3,Good,4,3,0,1,18-30
230,52,No,Travel_Rarely,1323,Research & Development,Near by,Bacherlors,Life Sciences,316,Best,Female,89,Low,Beginner,Laboratory Technician,Excellent,Single,3212,3300,7,No,15,3,Good,No,6,3,Good,2,2,2,2,46-60
231,42,No,Travel_Rarely,532,Research & Development,Near by,Higher Secondary,Technical Degree,319,Best,Male,58,Moderate,Expert,Manager,Excellent,Married,19232,4933,1,No,11,3,Excellent,No,22,3,Best,22,17,11,15,31-45
232,59,No,Travel_Rarely,818,Human Resources,Near by,Higher Secondary,Medical,321,Good,Male,52,Moderate,Beginner,Human Resources,Best,Married,2267,25657,8,No,17,3,Excellent,No,7,2,Good,2,2,2,2,46-60
233,50,No,Travel_Rarely,854,Sales,Near by,Masters,Medical,323,Excellent,Female,68,Moderate,Expert,Manager,Excellent,Divorced,19517,24118,3,No,11,3,Best,Low,32,3,Good,7,0,0,6,46-60
234,33,Yes,Travel_Rarely,813,Research & Development,Far,Bacherlors,Medical,325,Best,Male,58,Moderate,Beginner,Laboratory Technician,Excellent,Married,2436,22149,5,Yes,13,3,Best,Low,8,2,Poor,5,4,0,4,31-45
235,43,No,Travel_Rarely,1034,Sales,Far,Bacherlors,Marketing,327,Excellent,Female,80,Moderate,Advanced,Manager,Excellent,Married,16064,7744,5,Yes,22,4,Best,Low,22,3,Best,17,13,1,9,31-45
236,33,Yes,Travel_Rarely,465,Research & Development,Near by,Higher Secondary,Life Sciences,328,Poor,Female,39,Moderate,Beginner,Laboratory Technician,Poor,Married,2707,21509,7,No,20,4,Poor,No,13,3,Excellent,9,7,1,7,31-45
237,52,No,Non-Travel,771,Sales,Near by,Masters,Life Sciences,329,Poor,Male,79,Low,Expert,Manager,Best,Single,19068,21030,1,Yes,18,3,Excellent,No,33,2,Excellent,33,7,15,12,46-60
238,32,No,Travel_Rarely,1401,Sales,Near by,Higher Secondary,Life Sciences,330,Best,Female,56,Moderate,Beginner,Sales Representative,Good,Married,3931,20990,2,No,11,3,Poor,Low,6,5,Best,4,3,1,2,31-45
239,32,Yes,Travel_Rarely,515,Research & Development,Near by,Bacherlors,Life Sciences,331,Excellent,Male,62,Low,Beginner,Laboratory Technician,Best,Single,3730,9571,0,Yes,14,3,Excellent,No,4,2,Poor,3,2,1,2,31-45
240,39,No,Travel_Rarely,1431,Research & Development,Near by,Masters,Medical,332,Best,Female,96,Moderate,Beginner,Laboratory Technician,Best,Divorced,2232,15417,7,No,14,3,Best,High,7,1,Best,3,2,1,2,31-45
241,32,No,Non-Travel,976,Sales,Faraway,Masters,Marketing,333,Best,Male,100,Moderate,Intermediate,Sales Executive,Excellent,Married,4465,12069,0,No,18,3,Poor,No,4,2,Best,3,2,2,2,31-45
242,41,No,Travel_Rarely,1411,Research & Development,Far,Higher Secondary,Life Sciences,334,Best,Male,36,Moderate,Intermediate,Research Scientist,Poor,Divorced,3072,19877,2,No,16,3,Poor,Medium,17,2,Good,1,0,0,0,31-45
243,40,No,Travel_Rarely,1300,Research & Development,Faraway,Higher Secondary,Technical Degree,335,Poor,Male,62,Moderate,Intermediate,Research Scientist,Excellent,Divorced,3319,24447,1,No,17,3,Poor,Medium,9,3,Best,9,8,4,7,31-45
244,45,No,Travel_Rarely,252,Research & Development,Near by,Bacherlors,Other,336,Best,Male,70,High,Expert,Manager,Excellent,Married,19202,15970,0,No,11,3,Best,Low,25,2,Best,24,0,1,7,31-45
245,31,No,Travel_Frequently,1327,Research & Development,Near by,Masters,Medical,337,Good,Male,73,Moderate,Experienced,Research Director,Best,Divorced,13675,13523,9,No,12,3,Poor,Low,9,3,Best,2,2,2,2,31-45
246,33,No,Travel_Rarely,832,Research & Development,Near by,Masters,Life Sciences,338,Best,Female,63,Low,Beginner,Research Scientist,Excellent,Married,2911,14776,1,No,13,3,Best,Low,2,2,Good,2,2,0,2,31-45
247,34,No,Travel_Rarely,470,Research & Development,Near by,Masters,Life Sciences,339,Excellent,Male,84,Low,Intermediate,Manufacturing Director,Poor,Married,5957,23687,6,No,13,3,Good,Low,13,3,Best,11,9,5,9,31-45
248,37,No,Travel_Rarely,1017,Research & Development,Near by,Higher Secondary,Medical,340,Best,Female,83,Low,Beginner,Research Scientist,Poor,Married,3920,18697,2,No,14,3,Poor,Low,17,2,Good,3,1,0,2,31-45
249,45,No,Travel_Frequently,1199,Research & Development,Near by,Masters,Life Sciences,341,Poor,Male,77,High,Intermediate,Manufacturing Director,Best,Married,6434,5118,4,No,17,3,Excellent,Low,9,1,Best,3,2,0,2,31-45
250,37,Yes,Travel_Frequently,504,Research & Development,Near by,Bacherlors,Medical,342,Poor,Male,61,Moderate,Experienced,Manufacturing Director,Best,Divorced,10048,22573,6,No,11,3,Good,Medium,17,5,Best,1,0,0,0,31-45
251,39,No,Travel_Frequently,505,Research & Development,Near by,Masters,Technical Degree,343,Best,Female,64,Moderate,Experienced,Healthcare Representative,Best,Single,10938,6420,0,No,25,4,Excellent,No,20,1,Best,19,6,11,8,31-45
252,29,No,Travel_Rarely,665,Research & Development,Far,Bacherlors,Life Sciences,346,Best,Male,60,Moderate,Beginner,Research Scientist,Excellent,Single,2340,22673,1,No,19,3,Poor,No,6,1,Best,6,5,1,5,18-30
253,42,No,Travel_Rarely,916,Research & Development,Far,Higher Secondary,Life Sciences,347,Excellent,Female,82,High,Intermediate,Research Scientist,Poor,Single,6545,23016,3,Yes,13,3,Best,No,10,1,Best,3,2,0,2,31-45
254,29,No,Travel_Rarely,1247,Sales,Far,Higher Secondary,Marketing,349,Excellent,Male,45,Moderate,Intermediate,Sales Executive,Excellent,Divorced,6931,10732,2,No,14,3,Excellent,Low,10,2,Best,3,2,0,2,18-30
255,25,No,Travel_Rarely,685,Research & Development,Near by,Bacherlors,Life Sciences,350,Poor,Female,62,Moderate,Intermediate,Manufacturing Director,Best,Married,4898,7505,0,No,12,3,Excellent,Medium,5,3,Best,4,2,1,2,18-30
256,42,No,Travel_Rarely,269,Research & Development,Near by,Bacherlors,Medical,351,Excellent,Female,56,Low,Beginner,Laboratory Technician,Poor,Divorced,2593,8007,0,Yes,11,3,Best,Low,10,4,Best,9,6,7,8,31-45
257,40,No,Travel_Rarely,1416,Research & Development,Near by,Higher Secondary,Medical,352,Poor,Male,49,Moderate,Expert,Research Director,Best,Divorced,19436,5949,0,No,19,3,Excellent,Low,22,5,Best,21,7,3,9,31-45
258,51,No,Travel_Rarely,833,Research & Development,Near by,Bacherlors,Life Sciences,353,Best,Male,96,Moderate,Beginner,Research Scientist,Excellent,Married,2723,23231,1,No,11,3,Good,No,1,0,Good,1,0,0,0,46-60
259,31,Yes,Travel_Frequently,307,Research & Development,Faraway,Higher Secondary,Medical,355,Best,Male,71,Low,Beginner,Laboratory Technician,Good,Single,3479,11652,0,No,11,3,Good,No,6,2,Excellent,5,4,1,4,31-45
260,32,No,Travel_Frequently,1311,Research & Development,Near by,Bacherlors,Life Sciences,359,Good,Male,100,High,Beginner,Laboratory Technician,Good,Married,2794,26062,1,No,20,4,Best,No,5,3,Poor,5,1,0,3,31-45
261,38,No,Non-Travel,1327,Sales,Near by,Higher Secondary,Life Sciences,361,Excellent,Male,39,Low,Intermediate,Sales Executive,Excellent,Married,5249,19682,3,No,18,3,Excellent,Low,13,0,Best,8,7,7,5,31-45
262,32,No,Travel_Rarely,128,Research & Development,Near by,High School,Technical Degree,362,Excellent,Male,84,Low,Intermediate,Laboratory Technician,Poor,Single,2176,19737,4,No,13,3,Excellent,No,9,5,Best,6,2,0,4,31-45
263,46,No,Travel_Rarely,488,Sales,Near by,Bacherlors,Technical Degree,363,Best,Female,75,Very Low,Advanced,Manager,Good,Married,16872,14977,3,Yes,12,3,Good,Low,28,2,Good,7,7,7,7,46-60
264,28,Yes,Travel_Rarely,529,Research & Development,Near by,Masters,Life Sciences,364,Poor,Male,79,Moderate,Beginner,Laboratory Technician,Best,Single,3485,14935,2,No,11,3,Best,No,5,5,Poor,0,0,0,0,18-30
265,29,No,Travel_Rarely,1210,Sales,Near by,Bacherlors,Medical,366,Poor,Male,78,Low,Intermediate,Sales Executive,Good,Married,6644,3687,2,No,19,3,Good,Medium,10,2,Best,0,0,0,0,18-30
266,31,No,Travel_Rarely,1463,Research & Development,Faraway,Bacherlors,Medical,367,Good,Male,64,Low,Intermediate,Healthcare Representative,Excellent,Married,5582,14408,0,No,21,4,Good,Low,10,2,Best,9,0,7,8,31-45
267,25,No,Non-Travel,675,Research & Development,Near by,Higher Secondary,Life Sciences,369,Good,Male,85,High,Intermediate,Healthcare Representative,Poor,Divorced,4000,18384,1,No,12,3,Excellent,Medium,6,2,Best,6,3,1,5,18-30
268,45,No,Travel_Rarely,1385,Research & Development,Far,Higher Secondary,Medical,372,Best,Male,79,Moderate,Advanced,Healthcare Representative,Excellent,Married,13496,7501,0,Yes,14,3,Good,No,21,2,Best,20,7,4,10,31-45
269,36,No,Travel_Rarely,1403,Research & Development,Near by,Bacherlors,Life Sciences,373,Excellent,Male,47,Moderate,Beginner,Laboratory Technician,Excellent,Married,3210,20251,0,No,11,3,Best,Low,16,4,Best,15,13,10,11,31-45
270,55,No,Travel_Rarely,452,Research & Development,Near by,Bacherlors,Medical,374,Excellent,Male,81,Moderate,Expert,Manager,Poor,Single,19045,18938,0,Yes,14,3,Best,No,37,2,Best,36,10,4,13,46-60
271,47,Yes,Non-Travel,666,Research & Development,Faraway,Masters,Life Sciences,376,Poor,Male,88,Moderate,Experienced,Manager,Good,Married,11849,10268,1,Yes,12,3,Excellent,Low,10,2,Good,10,7,9,9,46-60
272,28,No,Travel_Rarely,1158,Research & Development,Near by,Bacherlors,Medical,377,Excellent,Male,94,Moderate,Beginner,Research Scientist,Excellent,Married,2070,2613,1,No,23,4,Excellent,Low,5,3,Good,5,2,0,4,18-30
273,37,No,Travel_Rarely,228,Sales,Near by,Masters,Medical,378,Best,Male,98,Moderate,Intermediate,Sales Executive,Excellent,Married,6502,22825,4,No,14,3,Good,Low,7,5,Excellent,5,4,0,1,31-45
274,21,No,Travel_Rarely,996,Research & Development,Near by,Higher Secondary,Medical,379,Excellent,Male,100,Low,Beginner,Research Scientist,Best,Single,3230,10531,1,No,17,3,Poor,No,3,4,Excellent,3,2,1,0,18-30
275,37,No,Non-Travel,728,Research & Development,Near by,Masters,Medical,380,Poor,Female,80,Moderate,Experienced,Research Director,Excellent,Divorced,13603,11677,2,Yes,18,3,Poor,Medium,15,2,Best,5,2,0,2,31-45
276,35,No,Travel_Rarely,1315,Research & Development,Faraway,Bacherlors,Life Sciences,381,Good,Female,71,High,Experienced,Manager,Good,Divorced,11996,19100,7,No,18,3,Good,Low,10,6,Good,7,7,6,2,31-45
277,38,No,Travel_Rarely,322,Sales,Near by,Higher Secondary,Medical,382,Poor,Female,44,High,Intermediate,Sales Executive,Poor,Divorced,5605,19191,1,Yes,24,4,Best,Low,8,3,Best,8,0,7,7,31-45
278,26,No,Travel_Frequently,1479,Research & Development,Near by,Bacherlors,Life Sciences,384,Best,Female,84,Moderate,Intermediate,Manufacturing Director,Good,Divorced,6397,26767,1,No,20,4,Poor,Low,6,6,Poor,6,5,1,4,18-30
279,50,No,Travel_Rarely,797,Research & Development,Near by,High School,Life Sciences,385,Poor,Male,96,Moderate,Expert,Research Director,Good,Divorced,19144,15815,3,No,14,3,Poor,Medium,28,4,Good,10,4,1,6,46-60
280,53,No,Travel_Rarely,1070,Research & Development,Near by,Masters,Medical,386,Best,Male,45,Moderate,Advanced,Research Director,Best,Married,17584,21016,3,Yes,16,3,Excellent,High,21,5,Good,5,3,1,3,46-60
281,42,No,Travel_Rarely,635,Sales,Near by,High School,Life Sciences,387,Good,Male,99,Moderate,Intermediate,Sales Executive,Best,Married,4907,24532,1,No,25,4,Best,No,20,3,Best,20,16,11,6,31-45
282,29,No,Travel_Frequently,442,Sales,Near by,Higher Secondary,Life Sciences,388,Good,Male,44,Moderate,Intermediate,Sales Executive,Excellent,Single,4554,20260,1,No,18,3,Poor,No,10,3,Good,10,7,0,9,18-30
283,55,No,Travel_Rarely,147,Research & Development,Far,Higher Secondary,Technical Degree,389,Good,Male,37,Moderate,Intermediate,Laboratory Technician,Excellent,Married,5415,15972,3,Yes,19,3,Excellent,Low,12,4,Best,10,7,0,8,46-60
284,26,No,Travel_Frequently,496,Research & Development,Far,Higher Secondary,Medical,390,Poor,Male,60,Moderate,Intermediate,Healthcare Representative,Poor,Married,4741,22722,1,Yes,13,3,Best,Low,5,3,Best,5,3,3,3,18-30
285,37,No,Travel_Rarely,1372,Research & Development,Near by,Bacherlors,Life Sciences,391,Excellent,Female,42,Moderate,Beginner,Research Scientist,Excellent,Single,2115,15881,1,No,12,3,Good,No,17,3,Best,17,12,5,7,31-45
286,44,Yes,Travel_Frequently,920,Research & Development,Faraway,Bacherlors,Life Sciences,392,Excellent,Male,43,Moderate,Beginner,Laboratory Technician,Best,Divorced,3161,19920,3,Yes,22,4,Excellent,Low,19,0,Poor,1,0,0,0,31-45
287,38,No,Travel_Rarely,688,Research & Development,Faraway,Masters,Life Sciences,393,Excellent,Male,82,Moderate,Intermediate,Healthcare Representative,Excellent,Divorced,5745,18899,9,No,14,3,Good,Low,10,2,Best,2,2,1,2,31-45
288,26,Yes,Travel_Rarely,1449,Research & Development,Far,Masters,Medical,394,Poor,Male,45,Moderate,Beginner,Laboratory Technician,Good,Divorced,2373,14180,2,Yes,13,3,Excellent,Low,5,2,Best,3,2,0,2,18-30
289,28,No,Travel_Rarely,1117,Research & Development,Near by,Higher Secondary,Life Sciences,395,Excellent,Female,66,Moderate,Beginner,Research Scientist,Excellent,Single,3310,4488,1,No,21,4,Excellent,No,5,3,Best,5,3,0,2,18-30
290,49,No,Travel_Frequently,636,Research & Development,Near by,Masters,Life Sciences,396,Best,Female,35,Moderate,Expert,Research Director,Poor,Single,18665,25594,9,Yes,11,3,Excellent,No,22,4,Best,3,2,1,2,46-60
291,36,No,Travel_Rarely,506,Research & Development,Near by,Bacherlors,Technical Degree,397,Best,Male,30,Moderate,Intermediate,Research Scientist,Good,Single,4485,26285,4,No,12,3,Excellent,No,10,2,Best,8,0,7,7,31-45
292,31,No,Travel_Frequently,444,Sales,Near by,Bacherlors,Marketing,399,Excellent,Female,84,Moderate,Beginner,Sales Representative,Good,Divorced,2789,3909,1,No,11,3,Best,Low,2,5,Good,2,2,2,2,31-45
293,26,Yes,Travel_Rarely,950,Sales,Near by,Masters,Marketing,401,Excellent,Male,48,Low,Intermediate,Sales Executive,Excellent,Single,5828,8450,1,Yes,12,3,Good,No,8,0,Best,8,7,7,4,18-30
294,37,No,Travel_Frequently,889,Research & Development,Near by,Bacherlors,Medical,403,Good,Male,53,Moderate,Beginner,Research Scientist,Excellent,Married,2326,11411,1,Yes,12,3,Best,High,4,3,Good,4,2,1,2,31-45
295,42,No,Travel_Frequently,555,Sales,Faraway,Bacherlors,Marketing,404,Best,Female,77,Moderate,Advanced,Sales Executive,Good,Married,13525,14864,5,No,14,3,Excellent,Low,23,2,Excellent,20,4,4,8,31-45
296,18,Yes,Travel_Rarely,230,Research & Development,Near by,Bacherlors,Life Sciences,405,Best,Male,54,Moderate,Beginner,Laboratory Technician,Best,Single,1420,25233,1,No,13,3,Best,No,0,2,Best,0,0,0,0,18-30
297,35,No,Travel_Rarely,1232,Sales,Far,Bacherlors,Marketing,406,Best,Male,96,Moderate,Experienced,Sales Executive,Good,Married,8020,5100,0,No,15,3,Best,Medium,12,3,Good,11,9,6,9,31-45
298,36,No,Travel_Frequently,566,Research & Development,Far,Masters,Life Sciences,407,Best,Male,81,High,Beginner,Laboratory Technician,Excellent,Married,3688,7122,4,No,18,3,Excellent,Medium,4,2,Best,1,0,0,0,31-45
299,51,No,Travel_Rarely,1302,Research & Development,Near by,Bacherlors,Medical,408,Excellent,Male,84,Very Low,Intermediate,Manufacturing Director,Good,Divorced,5482,16321,5,No,18,3,Excellent,Low,13,3,Best,4,1,1,2,46-60
300,41,No,Travel_Rarely,334,Sales,Near by,Masters,Life Sciences,410,Excellent,Male,88,Moderate,Advanced,Manager,Good,Single,16015,15896,1,No,19,3,Good,No,22,2,Best,22,10,0,4,31-45
301,18,No,Travel_Rarely,812,Sales,Near by,Bacherlors,Medical,411,Excellent,Female,69,Low,Beginner,Sales Representative,Best,Single,1200,9724,1,No,12,3,Poor,No,0,2,Best,0,0,0,0,18-30
302,28,No,Travel_Rarely,1476,Research & Development,Far,Higher Secondary,Medical,412,Good,Male,68,High,Intermediate,Healthcare Representative,Poor,Single,5661,4824,0,No,19,3,Best,No,9,2,Best,8,3,0,7,18-30
303,31,No,Travel_Rarely,218,Sales,Near by,Bacherlors,Technical Degree,416,Good,Male,100,High,Intermediate,Sales Executive,Excellent,Married,6929,12241,4,No,11,3,Good,Low,10,3,Good,8,7,7,7,31-45
304,39,No,Travel_Rarely,1132,Research & Development,Near by,Bacherlors,Medical,417,Best,Male,48,High,Experienced,Healthcare Representative,Excellent,Divorced,9613,10942,0,No,17,3,Poor,High,19,5,Good,18,10,3,7,31-45
305,36,No,Non-Travel,1105,Research & Development,Faraway,Masters,Life Sciences,419,Good,Female,47,Moderate,Intermediate,Laboratory Technician,Good,Married,5674,6927,7,No,15,3,Best,Low,11,3,Best,9,8,0,8,31-45
306,32,No,Travel_Rarely,906,Sales,Near by,Bacherlors,Life Sciences,420,Excellent,Male,91,Low,Intermediate,Sales Executive,Best,Married,5484,16985,1,No,14,3,Best,Low,13,3,Good,13,8,4,8,31-45
307,38,No,Travel_Rarely,849,Research & Development,Faraway,Higher Secondary,Life Sciences,421,Poor,Female,81,Low,Experienced,Research Director,Good,Married,12061,26707,3,No,17,3,Best,Low,19,2,Best,10,8,0,1,31-45
308,58,No,Non-Travel,390,Research & Development,Near by,Masters,Life Sciences,422,Excellent,Male,32,Very Low,Intermediate,Healthcare Representative,Best,Divorced,5660,17056,2,Yes,13,3,Excellent,Low,12,2,Best,5,3,1,2,46-60
309,31,No,Travel_Rarely,691,Research & Development,Near by,Masters,Technical Degree,423,Best,Male,86,Moderate,Beginner,Research Scientist,Excellent,Married,4821,10077,0,Yes,12,3,Best,Low,6,4,Best,5,2,0,3,31-45
310,31,No,Travel_Rarely,106,Human Resources,Near by,Bacherlors,Human Resources,424,Poor,Male,62,Low,Intermediate,Human Resources,Poor,Married,6410,17822,3,No,12,3,Excellent,No,9,1,Best,2,2,1,0,31-45
311,45,No,Travel_Frequently,1249,Research & Development,Near by,Bacherlors,Life Sciences,425,Poor,Male,97,Moderate,Experienced,Laboratory Technician,Poor,Divorced,5210,20308,1,No,18,3,Poor,Low,24,2,Best,24,9,9,11,31-45
312,31,No,Travel_Rarely,192,Research & Development,Near by,Masters,Life Sciences,426,Best,Male,32,Moderate,Beginner,Research Scientist,Excellent,Divorced,2695,7747,0,Yes,18,3,Good,Low,3,2,Poor,2,2,2,2,31-45
313,33,No,Travel_Frequently,553,Research & Development,Near by,Masters,Life Sciences,428,Excellent,Female,74,Moderate,Experienced,Manager,Good,Married,11878,23364,6,No,11,3,Good,Medium,12,2,Best,10,6,8,8,31-45
314,39,No,Travel_Rarely,117,Research & Development,Near by,High School,Medical,429,Best,Male,99,Moderate,Advanced,Manager,Poor,Married,17068,5355,1,Yes,14,3,Excellent,No,21,3,Best,21,9,11,10,31-45
315,43,No,Travel_Frequently,185,Research & Development,Near by,Masters,Life Sciences,430,Best,Female,33,Moderate,Beginner,Laboratory Technician,Excellent,Single,2455,10675,0,No,19,3,Poor,No,9,5,Best,8,7,1,7,31-45
316,49,No,Travel_Rarely,1091,Research & Development,Near by,Higher Secondary,Technical Degree,431,Best,Female,90,Low,Advanced,Healthcare Representative,Best,Single,13964,17810,7,Yes,12,3,Excellent,No,25,2,Best,7,1,0,7,46-60
317,52,Yes,Travel_Rarely,723,Research & Development,Near by,Masters,Medical,433,Best,Male,85,Low,Intermediate,Research Scientist,Good,Married,4941,17747,2,No,15,3,Poor,No,11,3,Good,8,2,7,7,46-60
318,27,No,Travel_Rarely,1220,Research & Development,Near by,Bacherlors,Life Sciences,434,Best,Female,85,Moderate,Beginner,Research Scientist,Good,Single,2478,20938,1,Yes,12,3,Good,No,4,2,Good,4,3,1,2,18-30
319,32,No,Travel_Rarely,588,Sales,Near by,Higher Secondary,Technical Degree,436,Best,Female,65,Low,Intermediate,Sales Executive,Good,Married,5228,24624,1,Yes,11,3,Excellent,No,13,2,Best,13,12,11,9,31-45
320,27,No,Travel_Rarely,1377,Sales,Near by,Bacherlors,Life Sciences,437,Excellent,Male,74,Moderate,Intermediate,Sales Executive,Best,Single,4478,5242,1,Yes,11,3,Poor,No,5,3,Best,5,4,0,4,18-30
321,31,No,Travel_Rarely,691,Sales,Near by,Bacherlors,Marketing,438,Excellent,Male,73,Moderate,Intermediate,Sales Executive,Excellent,Divorced,7547,7143,4,No,12,3,Excellent,High,13,3,Best,7,7,1,7,31-45
322,32,No,Travel_Rarely,1018,Research & Development,Near by,Masters,Medical,439,Poor,Female,74,High,Intermediate,Research Scientist,Excellent,Single,5055,10557,7,No,16,3,Best,No,10,0,Good,7,7,0,7,31-45
323,28,Yes,Travel_Rarely,1157,Research & Development,Near by,Masters,Medical,440,Poor,Male,84,Very Low,Beginner,Research Scientist,Excellent,Married,3464,24737,5,Yes,13,3,Excellent,No,5,4,Good,3,2,2,2,18-30
324,30,No,Travel_Rarely,1275,Research & Development,Faraway,Higher Secondary,Medical,441,Excellent,Female,64,Moderate,Intermediate,Research Scientist,Excellent,Married,5775,11934,1,No,13,3,Excellent,Medium,11,2,Best,10,8,1,9,18-30
325,31,No,Travel_Frequently,798,Research & Development,Near by,Higher Secondary,Life Sciences,442,Best,Female,48,Low,Experienced,Manufacturing Director,Best,Married,8943,14034,1,No,24,4,Poor,Low,10,2,Best,10,9,8,9,31-45
326,39,No,Travel_Frequently,672,Research & Development,Near by,Higher Secondary,Medical,444,Best,Male,54,Low,Expert,Manager,Excellent,Married,19272,21141,1,No,15,3,Poor,Low,21,2,Best,21,9,13,3,31-45
327,39,Yes,Travel_Rarely,1162,Sales,Near by,Higher Secondary,Medical,445,Excellent,Female,41,Moderate,Intermediate,Sales Executive,Best,Married,5238,17778,4,Yes,18,3,Poor,No,12,3,Good,1,0,0,0,31-45
328,33,No,Travel_Frequently,508,Sales,Near by,Bacherlors,Marketing,446,Good,Male,46,Low,Intermediate,Sales Executive,Excellent,Single,4682,4317,3,No,14,3,Best,No,9,6,Good,7,7,0,1,31-45
329,47,No,Travel_Rarely,1482,Research & Development,Near by,Doctorate,Life Sciences,447,Excellent,Male,42,Moderate,Expert,Research Director,Best,Married,18300,16375,4,No,11,3,Good,Low,21,2,Best,3,2,1,1,46-60
330,43,No,Travel_Frequently,559,Research & Development,Near by,Masters,Life Sciences,448,Best,Female,82,Low,Intermediate,Laboratory Technician,Best,Divorced,5257,6227,1,No,11,3,Good,Low,9,3,Excellent,9,7,0,0,31-45
331,27,No,Non-Travel,210,Sales,Near by,High School,Marketing,449,Best,Male,73,Moderate,Intermediate,Sales Executive,Good,Married,6349,22107,0,Yes,13,3,Excellent,Low,6,0,Best,5,4,1,4,18-30
332,54,No,Travel_Frequently,928,Research & Development,Far,Masters,Life Sciences,450,Excellent,Female,31,Moderate,Intermediate,Research Scientist,Best,Single,4869,16885,3,No,12,3,Excellent,No,20,4,Good,4,3,0,3,46-60
333,43,No,Travel_Rarely,1001,Research & Development,Near by,Bacherlors,Life Sciences,451,Best,Female,43,Moderate,Experienced,Healthcare Representative,Poor,Married,9985,9262,8,No,16,3,Poor,Low,10,1,Good,1,0,0,0,31-45
334,45,No,Travel_Rarely,549,Research & Development,Near by,Masters,Other,452,Excellent,Male,75,Moderate,Intermediate,Research Scientist,Excellent,Married,3697,9278,9,No,14,3,Poor,Medium,12,3,Best,10,9,9,8,31-45
335,40,No,Travel_Rarely,1124,Sales,Near by,Higher Secondary,Medical,453,Good,Male,57,Very Low,Intermediate,Sales Executive,Excellent,Married,7457,13273,2,Yes,22,4,Best,High,6,2,Good,4,3,0,2,31-45
336,29,Yes,Travel_Rarely,318,Research & Development,Near by,Masters,Other,454,Good,Male,77,Very Low,Beginner,Laboratory Technician,Poor,Married,2119,4759,1,Yes,11,3,Excellent,No,7,4,Good,7,7,0,7,18-30
337,29,No,Travel_Rarely,738,Research & Development,Near by,Doctorate,Other,455,Good,Male,30,Low,Beginner,Laboratory Technician,Excellent,Single,3983,7621,0,No,17,3,Best,No,4,2,Best,3,2,2,2,18-30
338,30,No,Travel_Rarely,570,Sales,Near by,Bacherlors,Marketing,456,Excellent,Female,30,Low,Intermediate,Sales Executive,Best,Divorced,6118,5431,1,No,13,3,Best,High,10,2,Best,10,9,1,2,18-30
339,27,No,Travel_Rarely,1130,Sales,Near by,Masters,Marketing,458,Good,Female,56,Moderate,Intermediate,Sales Executive,Good,Married,6214,3415,1,No,18,3,Poor,Low,8,3,Best,8,7,0,7,18-30
340,37,No,Travel_Rarely,1192,Research & Development,Near by,Higher Secondary,Medical,460,Excellent,Male,61,Moderate,Intermediate,Manufacturing Director,Excellent,Divorced,6347,23177,7,No,16,3,Best,Medium,8,2,Good,6,2,0,4,31-45
341,38,No,Travel_Rarely,343,Research & Development,Far,Higher Secondary,Life Sciences,461,Best,Male,92,Low,Experienced,Research Director,Excellent,Divorced,11510,15682,0,Yes,14,3,Good,Low,12,3,Best,11,10,2,9,31-45
